,time,open,high,low,close,tick_volume,spread,real_volume
220,2021-10-22 10:55:00,1.16416,1.16435,1.16416,1.1643,57,0,0
221,2021-10-22 10:56:00,1.1643,1.16444,1.1643,1.16444,47,0,0
222,2021-10-22 10:57:00,1.16443,1.16443,1.16427,1.16428,38,0,0
223,2021-10-22 10:58:00,1.16428,1.16435,1.16424,1.16428,60,0,0
224,2021-10-22 10:59:00,1.16429,1.16436,1.16417,1.16419,97,0,0
225,2021-10-22 11:00:00,1.16418,1.16425,1.16402,1.16403,142,0,0
226,2021-10-22 11:01:00,1.16403,1.16403,1.16388,1.16403,77,0,0
227,2021-10-22 11:02:00,1.16404,1.16414,1.16403,1.16407,76,0,0
228,2021-10-22 11:03:00,1.16407,1.16418,1.16404,1.16408,67,0,0
229,2021-10-22 11:04:00,1.16408,1.16417,1.16404,1.16409,62,0,0
230,2021-10-22 11:05:00,1.1641,1.16422,1.1641,1.16419,53,0,0
231,2021-10-22 11:06:00,1.16419,1.16426,1.16415,1.16426,52,0,0
232,2021-10-22 11:07:00,1.16427,1.16432,1.16421,1.1643,60,0,0
233,2021-10-22 11:08:00,1.16431,1.16435,1.16409,1.16417,60,0,0
234,2021-10-22 11:09:00,1.16417,1.16432,1.16416,1.1643,60,0,0
235,2021-10-22 11:10:00,1.1643,1.16438,1.16424,1.1643,71,0,0
236,2021-10-22 11:11:00,1.16431,1.16438,1.1643,1.16436,53,0,0
237,2021-10-22 11:12:00,1.16431,1.1644700000000001,1.1643,1.16446,72,0,0
238,2021-10-22 11:13:00,1.16446,1.16446,1.16429,1.16429,38,0,0
239,2021-10-22 11:14:00,1.16429,1.16439,1.16429,1.16434,65,0,0
240,2021-10-22 11:15:00,1.16433,1.16441,1.1643,1.1644,66,0,0
241,2021-10-22 11:16:00,1.1644,1.16461,1.1644,1.16459,48,0,0
242,2021-10-22 11:17:00,1.16459,1.16465,1.16453,1.1645699999999999,53,0,0
243,2021-10-22 11:18:00,1.1645699999999999,1.1646,1.1644700000000001,1.16455,45,0,0
244,2021-10-22 11:19:00,1.16454,1.1645699999999999,1.16449,1.16453,55,0,0
245,2021-10-22 11:20:00,1.16453,1.16453,1.16442,1.16448,55,0,0
246,2021-10-22 11:21:00,1.16448,1.16453,1.1644,1.1644,38,0,0
247,2021-10-22 11:22:00,1.1644,1.16449,1.1644,1.16441,42,0,0
248,2021-10-22 11:23:00,1.16441,1.1644700000000001,1.16441,1.1644700000000001,52,0,0
249,2021-10-22 11:24:00,1.1644700000000001,1.1644700000000001,1.16435,1.16438,57,0,0
250,2021-10-22 11:25:00,1.16439,1.1644,1.16428,1.16428,41,0,0
